,movieId,imdbId,"('rating', 'Average Rating')",title,genres,budget,box_office,director,actors,positive_rate
0,1,114709,3.92093023255814,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0.00099976689994561,1.3398805448610467e-07,John Lasseter,Tom Hanks;Tim Allen;Don Rickles;Jim Varney;Wallace Shawn;John Ratzenberger;Annie Potts;John Morris;Erik von Detten;Laurie Metcalf;R. Lee Ermey;Sarah Rayne;Penn Jillette;Jack Angel;Spencer Aste;Greg Berg;Lisa Bradley;Kendall Cunningham;Debi Derryberry;Cody Dorkin;Bill Farmer;Craig Good;Gregory Grudt;Danielle Judovits;Sam Lasseter;Brittany Levenbrown;Sherry Lynn;Scott McAfee;Mickie McGowan;Ryan O'Donohue;Jeff Pidgeon;Patrick Pinney;Phil Proctor;Jan Rabson;Joe Ranft;Andrew Stanton;Shane Sweet;Wayne Allwine;Tony Anselmo;Jonathan Benair;Anthony Burch;John Lasseter;Billy West,0.9583333333333331
1,2,113497,3.4318181818181817,Jumanji (1995),Adventure|Children|Fantasy,0.0016664337221678686,9.426130736462752e-08,Joe Johnston,Robin Williams;Jonathan Hyde;Kirsten Dunst;Bradley Pierce;Bonnie Hunt;Bebe Neuwirth;David Alan Grier;Patricia Clarkson;Adam Hann-Byrd;Laura Bell Bundy;James Handy;Gillian Barber;Brandon Obray;Cyrus Thiedeke;Gary Joseph Thorup;Leonard Zola;Lloyd Berry;Malcolm Stewart;Annabel Kershaw;Darryl Henriques;Robyn Driscoll;Peter Bryant;Sarah Gilson;Florica Vlad;June Lion;Brenda Lockmuller;Frederick Richardson;Frank Welker;Jaysen Clough;Daniel Olsen;Tom Woodruff Jr.,1.0
2,4,114885,2.357142857142857,Waiting to Exhale (1995),Comedy|Drama|Romance,0.0005331001243900291,2.9215624462424817e-08,Forest Whitaker,Whitney Houston;Angela Bassett;Loretta Devine;Lela Rochon;Gregory Hines;Dennis Haysbert;Mykelti Williamson;Michael Beach;Leon;Wendell Pierce;Donald Faison;Jeffrey D. Sams;Jazz Raycole;Brandon Hammond;Kenya Moore;Lamont Johnson;Wren T. Brown;Theo;Ken Love;Graham Galloway;Starletta DuPois;Shari L. Carpenter;Thomas R. Leander;Cordell Conway;Lee Wells Jr.;Hope Brown;Delaina Mitchell;Luis Sharpe;Joseph S. Myers;Ezra Swerdlow;Ellin La Var;Patricia Anne Fox;Wally Bujack;Brenda Baldwin-Davis;William Bolander;L. Scott Caldwell;Kacee DeMasi;Giancarlo Esposito;Wanda-Lee Evans;Tom Hedrick;Donyell Hinton;Bob Huff;Kelly Preston;Jose Rosete;Tim Sauer;Juliet Rose Serrato;Wesley Snipes,0.2
3,6,113277,3.946078431372549,Heat (1995),Action|Crime|Thriller,0.0019997671332789976,4.3042140503791196e-08,Michael Mann,Al Pacino;Robert De Niro;Val Kilmer;Jon Voight;Tom Sizemore;Diane Venora;Amy Brenneman;Ashley Judd;Mykelti Williamson;Wes Studi;Ted Levine;Dennis Haysbert;William Fichtner;Natalie Portman;Tom Noonan;Kevin Gage;Hank Azaria;Susan Traylor;Kim Staunton;Danny Trejo;Henry Rollins;Jerry Trimble;Martin Ferrero;Ricky Harris;Tone Loc;Begonya Plaza;Hazelle Goodman;Ray Buktenica;Jeremy Piven;Xander Berkeley;Rick Avery;Brad Baldridge;Andrew Camuccio;Brian Camuccio;Max Daniels;Vince Deadrick Jr.;Charles Duke;Thomas Elfmont;Kenny Endoso;Kimberly Flynn;Steven Ford;Farrah Forke;Hannes Fritsch;Amanda Graves;Emily Graves;Niki Haris;Ted Harvey;Patricia Healy;Paul Herman;Cindy Katz;Brian Libby;Bill McIntosh;Dan Martin;Rick Marzan;Terry Miller;Paul Moyer;Daniel O'Haco;Mario Roberts;Phillip Robinson;Thomas Rosales Jr.;Rainell Saunders;Kai Soremekun;Rey Verdugo;Wendy L. Walsh;Yvonne Zima;Monica Lee Bellais;Peter Blackwell;Trevor Coppola;Bud Cort;Michele Edison;Annette Goodman;Mick Gould;Mary Kircher;David Koseruba;Darin Mangan;Melissa S. Markess;Andre McCoy;Darren Melton;Robert Miranda;Manny Perry;Jimmy N. Roberts;Iva Franks Singer;Jimmy Star;Gloria Koehn Straube;Viviane Vives;Tim Werner,0.76
4,7,114319,3.185185185185185,Sabrina (1995),Comedy|Romance,0.001933100451056772,3.1318091608464254e-08,Sydney Pollack,Harrison Ford;Julia Ormond;Greg Kinnear;Nancy Marchand;John Wood;Richard Crenna;Angie Dickinson;Lauren Holly;Dana Ivey;Miriam Colon;Elizabeth Franz;Fanny Ardant;Valérie Lemercier;Patrick Bruel;Becky Ann Baker;Paul Giamatti;John C. Vennema;Gregory Chase;Margo Martindale;J. Smith-Cameron;Christine Luneau-Lipton;Michael Dees;Denis Holmes;Jo-Jo Lowe;Ira Wheeler;Philippa Cooper;Ayako Kawahara;François Genty;Guillaume Gallienne;Inés Sastre;Phina Oruche;Helena;Katia;Andrea Behalikova;Jennifer Herrera;Kristina Kumlin;Eva Linderholm;Stefano Tartini;Carmen Chaplin;Micheline Van de Velde;Joanna Rhodes;Alan Boone;Patrick Forster-Delmas;Kentaro;J.B. Benn;Peter McKernan;Ed Connelly;Ronald L. Schwary;Kenneth A. MacDonald;Alvin Lum;Siching Song;Phil Nee;Randy Becker;Susan Browning;Anthony Mondal;Peter Parks;Compagnie Jolie Môme;Woodrow W. Asai;Eric Bruno Borgman;Michael Cline;Christopher Del Gaudio;Doug Ferony;Philippe Hartmann;Anthony Salvador Lewis;Jerry Quinn;Dale Resteghini;Dori Rosenthal;Victor Warren,0.88
5,9,114576,3.125,Sudden Death (1995),Action,0.0011664336055011747,1.578211477722022e-08,Peter Hyams,Jean-Claude Van Damme;Powers Boothe;Raymond J. Barry;Whittni Wright;Ross Malinger;Dorian Harewood;Kate McNeil;Michael Gaston;Audra Lindley;Brian Delate;Steve Aronson;Michael R. Aubele;Karen Elise Baldwin;Jennifer D. Bowser;Pat Brisson;Glenda Morgan Brown;Jophery C. Brown;William Cameron;Bernard Canepari;Jay Caufield;Alan Clement;Bill Clement;Bill Dalzell;Gilbert B. Combs;Jack Erdie;Ed Evanko;David Flick;Glenn Alan Gardner;John Hall;Jeff Habberstad;Mark Hager;John Hateley;Rosine 'Ace' Hatem;Jeff Hochendoner;Jeff Howell;Brian Hutchison;Jeff Jimerson;Mark Kachowski;Callum Keith-King;Rick LeFevour;Tommy Lafitte;Raymond Laine;Mike Lange;Butch Luick;Fred Mancuso;Anthony Marino;Larry John Meyers;Ken Milchick;Faith Minton;Paul Mochnick;Brad Moniz;Jean-Pierre Nutini;Daniel R. Pagath;Manny Perry;Allan Pinsker;Douglas Rees;Diane Robin;Luc Robitaille;Thomas Saccio;Vinnie Sciullo;Jack Skelly;Brian Smrz;Phil Spano;Paul Steigerwald;John Sterling;Harold Surratt;Rohn Thomas;Milton E. Thompson Jr.;Dixie Tymitz;Fred Waugh;Rema Webb;Dean E. Wells;James W. Anderson III;David Barckhoff;Angela M. Da Costa;Dave Edmonds;Mark Golik;Joby Harris;John W. Iwanonkiw;Kristen Kress Parness;Jim Kuhn;George Lourimore;Phil Nardozzi;Bernie Nicholls;Markus Näslund;Robert Chase Pallone;Elizabeth Ann Peternel;Dwayne Pintoff;Eric Politowski;Eric Rasmussen;Dan Rosenberg;Gerard Sanders;Sandy Slicker;Oz Sultan,0.4
6,10,113189,3.496212121212121,GoldenEye (1995),Action|Adventure|Thriller,0.0019997671332789976,1.2632655287742664e-07,Martin Campbell,Pierce Brosnan;Sean Bean;Izabella Scorupco;Famke Janssen;Joe Don Baker;Judi Dench;Robbie Coltrane;Tchéky Karyo;Gottfried John;Alan Cumming;Desmond Llewelyn;Samantha Bond;Michael Kitchen;Serena Gordon;Simon Kunz;Pavel Douglas;Olivier Lajous;Billy J. Mitchell;Constantine Gregory;Minnie Driver;Michelle Arthur;Ravil Isyanov;Vladimir Milanovich;Trevor Byfield;Peter Majer;Paul Bannon;Simone Bechtel;Martin Campbell;Mark Chapman;Kenneth Coombs;Simon Crane;Terrance Denville;Ian Durrant;Max Faulkner;Juliet Forester;Stefan Kopiecki;Jo Anna Lee;Derek Lyons;Wayne Michaels;Bhasker Patel;Paul Sacks;Michael G. Wilson,0.96
7,11,112346,3.6714285714285713,"American President, The (1995)",Comedy|Drama|Romance,0.0020664338155012237,1.714511606354877e-08,Rob Reiner,Michael Douglas;Annette Bening;Martin Sheen;Michael J. Fox;Anna Deavere Smith;Samantha Mathis;Shawna Waldron;David Paymer;Anne Haney;Richard Dreyfuss;Nina Siemaszko;Wendie Malick;Beau Billingslea;Gail Strickland;Joshua Malina;Clement von Franckenstein;Efrat Lavie;John Mahoney;Taylor Nichols;John Mahon;Tom Dahlgren;Ralph Meyering Jr.;Kurt Boesen;Joseph Latimore;Darryl Alan Reed;Andrew Steel;Jordan Lund;Richard McGonagle;Frank Cavestani;Richard Stahl;Alice Kushida;Renee Faia;Beans Morocco;Kathryn Ish;Kamilah Martin;Augie Blunt;Thom Barry;Steve Gonzales;Gabriel Jarret;Karen Maruyama;Nancy Kandal;George Murdock;Bernie McInerney;Jack Gilroy;Matthew Saks;Googy Gress;Ron Canada;Brian Pietro;Rick Garcia;Aaron Sorkin;Kymberly Newberry;Greg Poland;Leslie Bega;Jennifer Crystal Foley;Arthur Senzy;Nick Toth;Jorge Noa;Maud Winchester;Jeffrey Anderson;Suzanne Michaels;Mark Thompson;David Drew Gallagher;Todd Odom;Michael G. Alexander;Anthony Backman;Rose Barrett;Faith Burton;Jan Citron;Arthur Eckdahl;Roger Ferreira;Jill Gable;Adolphus Hankins;Betty Hankins;James Lasley;Mark Norris;Sherry O'Keefe;Roger Steffens;Helen Thomas;Ray Uhler;Michael Wajacs,0.88
8,12,112896,2.421052631578948,Dracula: Dead and Loving It (1995),Comedy|Horror,0.00099976689994561,2.4480184603103893e-10,Mel Brooks,Leslie Nielsen;Peter MacNicol;Steven Weber;Amy Yasbeck;Lysette Anthony;Harvey Korman;Mel Brooks;Mark Blankfield;Megan Cavanagh;Clive Revill;Chuck McCann;Avery Schreiber;Cherie Franklin;Ezio Greggio;Leslie S. Sachs;Matthew Porretta;Rudy De Luca;Jennifer Crystal Foley;Darla Haun;Karen Roe;Charlie Callas;Phillip Connery;Tony Griffin;Casey King;Nicholas Rempel;Zale Kessler;Barbaree Earl Nielsen;Maura Nielsen Kaplan;Thea Nielsen Disney;Robin Shepard;Elaine Ballace;Maud Winchester;Gregg Binkley;Lisa Cordray;Cindy Marshall-Day;Ben Livingston;Anne Bancroft;David DeLuise;Ric Coy;Tommy Koenig;Michael Connors;Grinnell Morris;Stephen Wolfe Smith;Vince Grant;Richard Allen Stewart;Brad Grunberg;Carol Arthur;Derek Loughran;Sonje Fortag;Ira Miller;Henry Kaiser;Kathleen Kane;Loraine Shields;David Savoy;Sharon Savoy;Audrey K. Baranishyn;Delores Nemiro;Jeffrey Broadhurst;Jim Peace;Kevin Crawford;Jodi Peterson;John Frayer;Dennon Rawles;Sandi Johnson;Sandy Rovetta;Shirley Kirkes;Alton Ruff;Manette LaChance;Blane Savage;Stan Mazin;Ted Sprague;Patricia McFarlin-Mattson;Jude Van Wormer;Anne McVey;Allen Walls;Kat Jensen,0.45833333333333337
9,17,114388,3.776119402985074,Sense and Sensibility (1995),Drama|Romance,0.0005331001243900291,4.842240873929862e-08,Ang Lee,James Fleet;Tom Wilkinson;Harriet Walter;Kate Winslet;Emma Thompson;Gemma Jones;Hugh Grant;Emilie François;Elizabeth Spriggs;Robert Hardy;Ian Brimble;Isabelle Amyes;Alan Rickman;Greg Wise;Alexander John;Imelda Staunton;Imogen Stubbs;Hugh Laurie;Allan Mitchell;Josephine Gradwell;Richard Lumsden;Lone Madsen;Oliver Ford Davies;Eleanor McCready;Kenneth W Caravan;Lindsay Doran;Chris Trott,0.96
